Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
519,60,RL,,10000,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2000,10000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Mn,GLQ,10000,Unf,10000,,,GasA,Ex,Y,SBrkr,900,1000,10000,10000,1,0,2,1,3,1,TA,7,Typ,0,,Attchd,2000,RFn,2,10000,TA,TA,Y,10000,,10000,10000,10000,10000,MnPrv,0,5,2007,WD,Normal,211000
520,70,RL,60,11000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,9,1930,11000,Gambrel,CompShg,MetalSd,MetalSd,None,0,Gd,TA,BrkTil,Gd,TA,No,Unf,11000,Unf,11000,100,100,GasA,Ex,Y,SBrkr,1300,900,11000,11000,0,0,1,1,3,1,Gd,9,Typ,2,Gd,Detchd,1930,Unf,1,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,MnPrv,0,6,2009,WD,Normal,234000
522,20,RL,90,12000,Pave,IR1,Lvl,AllPub,Corner,Gtl,mes,Feedr,Norm,1Fam,1Story,6,6,1960,12000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,12000,Unf,12000,100,100,GasA,Ex,Y,FuseA,1300,0,12000,12000,0,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1960,Unf,1,12000,TA,TA,Y,12000,100,12000,12000,12000,12000,,0,5,2007,WD,Normal,150000
524,60,RL,130,41000,Pave,IR1,Bnk,AllPub,Inside,Gtl,Edwards,PosN,PosN,1Fam,2Story,10,5,2010,41000,Hip,CompShg,CemntBd,CmentBd,Stone,800,Ex,TA,PConc,Ex,TA,Gd,GLQ,41000,Unf,41000,200,200,GasA,Ex,Y,SBrkr,3200,1600,41000,41000,1,0,3,1,3,1,Ex,11,Typ,1,Gd,BuiltIn,2010,Fin,3,41000,TA,TA,Y,41000,200,41000,41000,41000,41000,,0,10,2007,New,Partial,184750
525,60,RL,100,12000,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,2000,12000,Gable,CompShg,VinylSd,VinylSd,BrkFace,600,Gd,TA,PConc,Gd,TA,No,GLQ,12000,Unf,12000,100,100,GasA,Ex,Y,SBrkr,1400,1100,12000,12000,1,0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,2000,Fin,3,12000,TA,TA,Y,12000,100,12000,12000,12000,12000,,0,8,2007,WD,Normal,315750
430,20,RL,130,12000,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1990,12000,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Mn,GLQ,12000,Unf,12000,200,200,GasA,TA,Y,SBrkr,1500,0,12000,12000,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1990,Unf,2,12000,TA,TA,Y,12000,200,12000,12000,12000,12000,,0,3,2009,WD,Normal,175000
340,20,RL,70,13000,Pave,IR1,Lvl,AllPub,Inside,Gtl,mes,Feedr,Norm,1Fam,1Story,6,7,1960,13000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,200,TA,TA,CBlock,TA,Fa,No,Rec,13000,Unf,13000,100,100,GasA,TA,Y,FuseA,1300,0,13000,13000,0,0,1,0,3,1,TA,6,Typ,0,,Attchd,1960,Unf,1,13000,TA,TA,Y,13000,100,13000,13000,13000,13000,,0,6,2009,WD,Normal,155000
526,20,FV,70,8000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2010,8000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,8000,Unf,8000,100,100,GasA,Ex,Y,SBrkr,1300,0,8000,8000,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2010,Unf,2,8000,TA,TA,Y,8000,100,8000,8000,8000,8000,,0,4,2006,WD,Normal,176000
527,20,RL,70,14000,Pave,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5,7,1960,14000,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,Gd,TA,No,Rec,14000,Unf,14000,100,100,GasA,TA,Y,SBrkr,1000,0,14000,14000,0,0,1,0,2,1,TA,4,Typ,0,,Attchd,1960,Unf,1,14000,TA,TA,Y,14000,100,14000,14000,14000,14000,,0,6,2007,WD,Normal,132000
542,60,RL,,11000,Pave,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,11000,Gable,CompShg,VinylSd,VinylSd,BrkFace,100,Gd,TA,PConc,Gd,TA,No,Unf,11000,Unf,11000,,,GasA,Ex,Y,SBrkr,1000,1300,11000,11000,0,0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,2000,Fin,3,11000,TA,TA,Y,11000,,11000,11000,11000,11000,,0,6,2007,WD,Normal,248000
543,20,RL,80,11000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,7,5,2000,11000,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,LwQ,11000,GLQ,11000,100,100,GasA,Ex,Y,SBrkr,1700,0,11000,11000,1,0,2,0,3,1,Gd,7,Maj1,1,TA,Attchd,2000,Fin,2,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,,0,6,2009,WD,Normal,213250
544,120,RH,40,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,TwnhsE,SFoyer,7,5,2000,5000,Gable,CompShg,MetalSd,MetalSd,BrkFace,200,TA,TA,PConc,Gd,TA,Av,GLQ,5000,LwQ,5000,100,100,GasA,Ex,Y,SBrkr,800,0,5000,5000,1,0,1,0,1,1,TA,4,Typ,0,,Attchd,2000,Fin,1,5000,TA,TA,Y,5000,100,5000,5000,5000,5000,,0,6,2007,WD,Normal,133000
566,70,RL,70,7000,Pave,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,4,1920,7000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,Gd,TA,No,Unf,7000,Unf,7000,100,100,GasA,TA,N,FuseF,900,900,7000,7000,1,0,1,1,4,1,Fa,6,Typ,0,,Detchd,1920,Unf,1,7000,TA,TA,Y,7000,100,7000,7000,7000,7000,,0,5,2010,WD,Normal,128000
567,60,RL,80,12000,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5,2010,12000,Hip,CompShg,VinylSd,VinylSd,BrkFace,300,Gd,TA,PConc,Gd,Gd,No,Unf,12000,Unf,12000,100,100,GasA,Ex,Y,SBrkr,1200,1400,12000,12000,0,0,2,1,4,1,Ex,11,Typ,1,Gd,BuiltIn,2010,Fin,3,12000,TA,TA,Y,12000,100,12000,12000,12000,12000,,0,6,2008,WD,Normal,325000
568,20,RL,70,11000,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2010,11000,Gable,CompShg,VinylSd,VinylSd,BrkFace,200,Gd,TA,PConc,Gd,TA,No,GLQ,11000,Unf,11000,100,100,GasA,Ex,Y,SBrkr,1600,0,11000,11000,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2010,RFn,2,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,,0,3,2010,WD,Normal,214000
569,50,RL,80,13000,Pave,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,1.5Fin,8,8,1990,13000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,13000,Unf,13000,100,100,GasA,Ex,Y,SBrkr,1500,700,13000,13000,1,0,1,1,1,1,Gd,5,Min2,1,Gd,BuiltIn,1990,Fin,2,13000,Gd,TA,Y,13000,100,13000,13000,13000,13000,,0,9,2009,WD,Normal,316600
570,90,RL,,8000,Pave,IR1,Lvl,AllPub,Corner,Gtl,mes,Norm,Norm,Duplex,SFoyer,5,5,1980,8000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,GLQ,8000,Unf,8000,,,GasA,TA,Y,SBrkr,1000,0,8000,8000,1,0,1,0,2,1,TA,4,Typ,2,TA,Detchd,1980,Unf,2,8000,TA,TA,Y,8000,,8000,8000,8000,8000,,0,12,2006,WD,Normal,135960
571,90,RL,80,14000,Pave,IR1,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,Duplex,1Story,5,5,1970,14000,Gable,CompShg,HdBoard,HdBoard,BrkFace,200,TA,TA,CBlock,TA,TA,No,LwQ,14000,Unf,14000,100,100,GasA,TA,Y,SBrkr,1800,0,14000,14000,0,0,2,0,6,2,TA,10,Typ,0,,Detchd,1990,Unf,2,14000,TA,TA,Y,14000,100,14000,14000,14000,14000,,0,11,2008,WD,Normal,142600
573,60,RL,90,14000,Pave,IR1,HLS,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,2010,14000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Ex,TA,Av,Unf,14000,Unf,14000,100,100,GasA,Gd,Y,SBrkr,900,900,14000,14000,0,0,2,1,3,1,Gd,6,Typ,0,,Attchd,2010,RFn,2,14000,TA,TA,Y,14000,100,14000,14000,14000,14000,,0,7,2009,New,Partial,224500
574,80,RL,80,10000,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,10000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,10000,Unf,10000,100,100,GasA,Ex,Y,SBrkr,800,700,10000,10000,0,0,2,1,3,1,TA,8,Typ,1,TA,BuiltIn,2000,RFn,2,10000,TA,TA,Y,10000,100,10000,10000,10000,10000,,0,12,2007,WD,Normal,170000
584,75,RM,80,14000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,PosA,1Fam,2.5Unf,10,9,1900,14000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Ex,Ex,BrkTil,TA,TA,No,Unf,14000,Unf,14000,100,100,GasA,Gd,Y,SBrkr,1600,1300,14000,14000,0,0,3,1,3,1,Gd,9,Typ,1,Gd,Detchd,1990,Unf,2,14000,Gd,TA,Y,14000,100,14000,14000,14000,14000,,0,7,2008,WD,Normal,325000
585,50,RM,60,7000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,4,7,1940,7000,Gable,CompShg,AsbShng,AsbShng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,7000,Unf,7000,100,100,GasA,Ex,Y,SBrkr,1000,600,7000,7000,0,0,1,0,3,1,Gd,6,Typ,0,,Detchd,1940,Unf,1,7000,TA,TA,Y,7000,100,7000,7000,7000,7000,,0,7,2009,WD,Normal,133000
598,120,RL,60,4000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2010,4000,Gable,CompShg,VinylSd,VinylSd,BrkFace,100,Gd,TA,PConc,Ex,TA,Av,Unf,4000,Unf,4000,100,100,GasA,Ex,Y,SBrkr,1500,0,4000,4000,0,2,0,2,2,1,Gd,7,Typ,1,Gd,Attchd,2010,Fin,3,4000,TA,TA,Y,4000,100,4000,4000,4000,4000,,0,2,2007,New,Partial,194201
449,50,RM,50,9000,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1940,9000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,9000,Unf,9000,100,100,GasA,TA,Y,SBrkr,800,600,9000,9000,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,1940,Unf,1,9000,TA,TA,N,9000,100,9000,9000,9000,9000,,0,6,2006,WD,Normal,119500
599,20,RL,80,13000,Pave,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1980,13000,Gable,CompShg,Plywood,Plywood,BrkFace,500,TA,TA,CBlock,Gd,TA,Mn,ALQ,13000,LwQ,13000,100,100,GasA,Ex,Y,SBrkr,1700,0,13000,13000,1,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1980,Fin,2,13000,TA,TA,Y,13000,100,13000,13000,13000,13000,,0,3,2006,WD,Normal,217500
600,160,RM,30,2000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,Twnhs,2Story,6,6,1980,2000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,Gd,TA,No,LwQ,2000,GLQ,2000,100,100,GasA,TA,Y,SBrkr,800,900,2000,2000,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1980,Fin,2,2000,TA,TA,Y,2000,100,2000,2000,2000,2000,GdPrv,0,7,2008,COD,Normal,151000
601,60,RL,80,11000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2010,11000,Gable,CompShg,VinylSd,VinylSd,BrkFace,300,Gd,TA,PConc,Gd,TA,Av,GLQ,11000,Unf,11000,100,100,GasA,Ex,Y,SBrkr,1100,900,11000,11000,1,0,2,1,3,1,Ex,8,Typ,1,Gd,BuiltIn,2010,Fin,2,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,,0,6,2006,WD,Normal,275000
602,50,RM,50,9000,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1940,9000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,PConc,TA,TA,No,Unf,9000,Unf,9000,100,100,GasA,TA,Y,SBrkr,800,600,9000,9000,0,0,1,1,3,1,Gd,6,Typ,1,Gd,Detchd,1980,Unf,1,9000,TA,TA,P,9000,100,9000,9000,9000,9000,,0,12,2007,WD,Normal,141000
603,60,RL,80,11000,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,8,5,2000,11000,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,11000,Unf,11000,100,100,GasA,Ex,Y,SBrkr,1000,1000,11000,11000,1,0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,2000,Fin,2,11000,TA,TA,Y,11000,100,11000,11000,11000,11000,,0,2,2006,WD,Abnorml,220000
604,160,FV,30,4000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2010,4000,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,4000,Unf,4000,100,100,GasA,Ex,Y,SBrkr,600,600,4000,4000,0,0,2,1,2,1,Gd,4,Typ,0,,Detchd,2010,RFn,2,4000,TA,TA,Y,4000,100,4000,4000,4000,4000,,0,6,2010,WD,Normal,151000
605,20,RL,90,13000,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2010,13000,Gable,CompShg,VinylSd,VinylSd,BrkFace,100,Gd,TA,PConc,Gd,TA,Mn,GLQ,13000,Unf,13000,100,100,GasA,Ex,Y,SBrkr,1500,0,13000,13000,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2010,RFn,2,13000,TA,TA,Y,13000,100,13000,13000,13000,13000,,0,9,2008,WD,Normal,221000
606,60,RL,90,14000,Pave,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,2Story,7,6,1970,14000,Gable,CompShg,HdBoard,HdBoard,BrkFace,200,TA,TA,CBlock,TA,TA,No,BLQ,14000,Unf,14000,100,100,GasA,TA,Y,SBrkr,1200,800,14000,14000,0,0,2,1,3,1,TA,7,Typ,3,Fa,Attchd,1970,Unf,2,14000,TA,TA,Y,14000,100,14000,14000,14000,14000,,0,10,2009,WD,Normal,205000
607,20,RL,90,13000,Pave,IR2,Low,AllPub,Corner,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,2000,13000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,PConc,Gd,TA,No,GLQ,13000,Unf,13000,100,100,GasA,Gd,Y,SBrkr,1100,0,13000,13000,1,0,1,0,3,1,Gd,6,Typ,0,,Detchd,2000,Unf,2,13000,TA,TA,Y,13000,100,13000,13000,13000,13000,GdPrv,0,11,2009,WD,Normal,152000
608,20,RL,80,8000,Pave,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,2Story,5,8,1950,8000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,Gd,No,GLQ,8000,Unf,8000,100,100,GasA,Ex,Y,SBrkr,1200,900,8000,8000,1,0,3,0,3,1,Ex,8,Typ,0,,Attchd,1950,Unf,1,8000,TA,TA,Y,8000,100,8000,8000,8000,8000,,0,8,2006,WD,Normal,225000
609,70,RL,80,13000,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1940,13000,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,PConc,Gd,TA,Mn,BLQ,13000,Unf,13000,100,100,GasA,TA,Y,SBrkr,2000,1300,13000,13000,0,0,2,1,4,1,TA,10,Typ,2,Gd,Basment,1940,Unf,2,13000,TA,TA,Y,13000,100,13000,13000,13000,13000,,0,9,2007,WD,Alloca,359100
611,60,RL,,12000,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,2Story,9,5,2000,12000,Hip,CompShg,VinylSd,VinylSd,BrkFace,300,Gd,TA,PConc,Ex,TA,Mn,GLQ,12000,Unf,12000,,,GasA,Ex,Y,SBrkr,1500,700,12000,12000,1,0,2,1,3,1,Ex,8,Typ,2,Ex,Attchd,2000,Fin,3,12000,TA,TA,Y,12000,,12000,12000,12000,12000,,0,5,2009,WD,Normal,313000
